login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
gantoine,103.301,31.784,26.19,161.275,29.001,74.3,26,31,83.9,4,0.7,212,8.15,248,0,24914,18184,537,86,0,0,12,19,5287,89.9,99,5,18,9,6,10,0,"testing in diff (12 PRs, 19 test files) · merge CI success ~89.9% (5287 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",0,0,335,2205,213,2418,34,22,9,~0.7d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
webjunkie,98.532,33.881,27.859,160.272,64.232,34.3,62,66,93.9,11,0.29,373,6.02,540,1,22926,4806,768,46,0,0,18,158,12318,90.1,253,5,47,9,6,10,0,"testing in diff (18 PRs, 158 test files) · merge CI success ~90.1% (12318 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",3,0,155,9760,626,10386,255,54,83,~0.29d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
MattPua,83.037,39.839,29.031,151.907,53.687,29.35,70,82,85.4,3,0.72,284,4.06,401,0,13754,2730,490,30,3,3,34,55,14122,89.7,220,5,19,10,9,13,0,"issue closure (3 PRs w/ close keywords) · end-to-end ownership (many linked issues) · testing in diff (34 PRs, 55 test files) · merge CI success ~89.7% (14122 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (10 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,49,1180,266,1446,34,12,17,~0.72d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; closes tracked work (issues); tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
haacked,85.497,32.959,31.864,150.32,51.247,34.25,50,52,96.2,1,0.7,166,3.32,607,0,16687,10175,309,44,0,0,28,63,10919,90.0,140,6,30,16,8,5,0,"testing in diff (28 PRs, 63 test files) · merge CI success ~90.0% (10919 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (16 PRs w/ teammate input after open) · diverse partners on own PRs (~8 people)",1,0,34,294,53,347,3,6,39,~0.7d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open; broad collaboration network
rafaeelaudibert,82.444,20.677,33.736,136.857,21.794,60.65,22,25,88.0,3,0.07,68,3.09,218,98,9171,4701,337,73,0,0,5,11,4492,89.1,66,4,37,11,9,35,1,"testing in diff (5 PRs, 11 test files) · merge CI success ~89.1% (4492 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (11 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,157,2471,2423,4894,178,17,66,~0.07d median time to merge; strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
sampennington,77.057,34.766,22.622,134.445,35.257,41.8,41,55,74.5,5,0.27,236,5.76,258,0,10672,2463,201,47,1,1,24,38,8238,89.6,116,4,21,8,5,2,0,"issue closure (1 PRs w/ close keywords) · testing in diff (24 PRs, 38 test files) · merge CI success ~89.6% (8238 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,29,2512,154,2666,79,22,31,~0.27d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
dmarticus,66.713,39.928,26.27,132.911,39.663,27.05,34,36,94.4,3,1.05,362,10.65,340,109,10502,3034,309,29,3,3,22,68,7258,88.7,149,0,64,19,4,1,0,"issue closure (3 PRs w/ close keywords) · end-to-end ownership (many linked issues) · testing in diff (22 PRs, 68 test files) · merge CI success ~88.7% (7258 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (19 PRs w/ teammate input after open)",0,0,50,2110,282,2392,30,38,50,~1.05d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; closes tracked work (issues); tests/e2e in shipped diffs; pulls others in after open
Gilbert09,82.092,32.107,18.676,132.875,21.642,60.45,22,25,88.0,4,0.68,95,4.32,190,0,6662,704,157,65,0,0,14,28,4483,89.5,57,0,24,9,3,0,0,"testing in diff (14 PRs, 28 test files) · merge CI success ~89.5% (4483 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open)",0,0,38,271,38,309,13,14,23,~0.68d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
sakce,58.836,32.563,31.2,122.599,37.436,21.4,41,45,91.1,9,0.94,67,1.63,312,0,9349,4353,212,24,0,0,18,47,8459,89.1,110,5,28,15,9,3,0,"testing in diff (18 PRs, 47 test files) · merge CI success ~89.1% (8459 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (15 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,34,4233,1998,6231,75,23,40,~0.94d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
thmsobrmlr,67.256,32.586,15.235,115.077,26.156,41.1,33,47,70.2,9,0.49,170,5.15,192,0,8210,3784,208,45,0,0,21,41,6667,90.4,73,2,28,2,4,1,0,"testing in diff (21 PRs, 41 test files) · merge CI success ~90.4% (6667 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",1,0,51,1988,2649,4637,44,27,33,~0.49d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
Piccirello,54.983,32.99,24.219,112.192,23.183,31.8,25,25,100.0,1,0.15,65,2.6,104,36,2718,1213,213,37,0,0,18,59,5054,90.8,70,5,14,7,8,9,0,"testing in diff (18 PRs, 59 test files) · merge CI success ~90.8% (5054 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open) · diverse partners on own PRs (~8 people)",0,0,123,583,25,608,8,1,2,~0.15d median time to merge; strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open; broad collaboration network
VojtechBartos,57.359,34.055,19.925,111.339,34.009,23.35,17,18,94.4,6,1.89,74,4.35,170,0,45914,29620,391,24,0,0,17,171,3355,90.9,53,2,15,7,5,2,0,"testing in diff (17 PRs, 171 test files) · merge CI success ~90.9% (3355 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,100,18124,3013,21137,170,58,96,~1.89d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
georgemunyoro,61.514,31.591,16.718,109.823,26.164,35.35,16,14,114.3,3,0.64,290,18.12,173,0,53718,39146,262,36,0,0,14,21,3235,87.5,43,1,12,7,2,2,0,"testing in diff (14 PRs, 21 test files) · merge CI success ~87.5% (3235 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open)",0,0,39,9573,7185,16758,43,23,34,~0.64d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
andrewm4894,57.218,32.522,18.922,108.662,39.518,17.7,36,54,66.7,15,0.26,260,7.22,384,0,22806,1588,290,19,0,0,16,37,7272,90.7,59,0,16,8,7,0,0,"testing in diff (16 PRs, 37 test files) · merge CI success ~90.7% (7272 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open) · diverse partners on own PRs (~7 people)",0,0,41,54289,15890,70179,884,247,209,~0.26d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
skoob13,60.213,32.979,15.424,108.616,38.813,21.4,37,52,71.2,16,0.15,203,5.49,181,0,22936,959,274,24,0,0,22,81,7638,88.1,144,3,7,4,3,3,0,"testing in diff (22 PRs, 81 test files) · merge CI success ~88.1% (7638 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,57,18473,2606,21079,342,144,93,~0.15d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
mariusandra,65.245,32.708,10.321,108.274,34.845,30.4,27,33,81.8,7,0.1,188,6.96,126,0,13494,6346,252,33,0,0,23,50,5480,89.8,73,0,3,3,2,7,0,"testing in diff (23 PRs, 50 test files) · merge CI success ~89.8% (5480 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open)",0,0,41,3670,1450,5120,122,26,41,~0.1d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
vdekrijger,58.88,32.062,16.484,107.426,24.83,34.05,24,32,75.0,5,0.74,103,4.29,209,0,6035,3080,137,36,0,0,13,31,4967,88.3,64,2,15,6,2,0,0,"testing in diff (13 PRs, 31 test files) · merge CI success ~88.3% (4967 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open)",0,0,17,2688,1320,4008,43,20,17,~0.74d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
rnegron,66.661,22.381,17.973,107.015,15.961,50.7,25,40,62.5,13,0.54,154,6.16,117,0,2371,1141,146,52,0,0,6,11,5136,90.8,42,1,10,8,3,1,0,"testing in diff (6 PRs, 11 test files) · merge CI success ~90.8% (5136 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open)",0,0,65,10863,3849,14712,181,85,44,~0.54d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
pauldambra,49.665,32.41,23.73,105.805,26.515,23.15,40,52,76.9,10,0.32,228,5.7,364,0,7374,1781,272,29,0,0,16,33,8070,90.7,107,4,15,6,6,15,0,"testing in diff (16 PRs, 33 test files) · merge CI success ~90.7% (8070 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",1,0,76,6983,3637,10620,143,71,90,~0.32d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
MattBro,35.394,34.46,32.921,102.775,29.944,5.45,35,42,83.3,1,0.98,179,5.11,289,0,7218,3045,155,10,1,1,21,31,7217,88.7,90,2,27,16,4,29,0,"issue closure (1 PRs w/ close keywords) · testing in diff (21 PRs, 31 test files) · merge CI success ~88.7% (7217 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (16 PRs w/ teammate input after open)",0,0,31,159,2,161,3,2,4,~0.98d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
arthurdedeus,51.321,30.183,20.423,101.927,21.571,29.75,16,14,114.3,3,1.0,63,3.94,169,0,9331,1969,244,33,0,0,11,22,3226,87.9,43,4,20,5,8,1,0,"testing in diff (11 PRs, 22 test files) · merge CI success ~87.9% (3226 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open) · diverse partners on own PRs (~8 people)",0,0,94,2447,2877,5324,25,15,21,~1.0d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
jose-sequeira,41.565,33.634,24.877,100.076,30.765,10.8,23,27,85.2,4,0.76,115,5.0,104,0,11838,3710,286,16,0,0,14,104,5013,91.5,82,1,35,10,8,3,0,"testing in diff (14 PRs, 104 test files) · merge CI success ~91.5% (5013 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (10 PRs w/ teammate input after open) · diverse partners on own PRs (~8 people)",0,0,49,3037,213,3250,41,15,17,~0.76d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open; broad collaboration network
jurajmajerik,56.342,28.785,14.854,99.981,24.642,31.7,29,31,93.5,2,0.11,117,4.03,146,0,6025,4335,155,33,0,0,10,20,5890,89.5,76,0,11,6,3,2,0,"testing in diff (10 PRs, 20 test files) · merge CI success ~89.5% (5890 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open)",0,0,28,1024,0,1024,9,4,17,~0.11d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
TueHaulund,41.146,32.712,25.914,99.772,24.796,16.35,22,22,100.0,1,0.37,79,3.59,101,0,11927,5612,294,17,1,1,10,80,4435,91.4,77,2,15,8,4,25,0,"issue closure (1 PRs w/ close keywords) · testing in diff (10 PRs, 80 test files) · merge CI success ~91.4% (4435 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open)",0,0,74,775,6,781,6,6,7,~0.37d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
yasen-posthog,43.236,31.677,23.794,98.707,24.536,18.7,24,24,100.0,3,1.17,159,6.62,314,0,6474,1012,227,20,0,0,12,20,4881,88.6,98,3,75,7,6,2,0,"testing in diff (12 PRs, 20 test files) · merge CI success ~88.6% (4881 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",0,0,53,112,118,230,11,6,11,~1.17d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
robbie-c,40.638,32.201,25.369,98.208,36.938,3.7,43,49,87.8,4,0.88,169,3.93,218,0,5055,2293,215,5,0,0,14,32,8799,89.2,116,5,20,9,9,2,0,"testing in diff (14 PRs, 32 test files) · merge CI success ~89.2% (8799 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~9 people)",0,0,52,48,38,86,13,6,7,~0.88d median time to merge; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open; broad collaboration network
gustavohstrassburger,47.0,34.635,15.446,97.081,21.65,25.35,22,29,75.9,3,0.55,155,7.05,226,74,5941,3245,115,26,1,1,13,29,4495,90.7,55,0,21,6,3,0,0,"issue closure (1 PRs w/ close keywords) · testing in diff (13 PRs, 29 test files) · merge CI success ~90.7% (4495 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open)",0,0,18,264,68,332,4,4,13,~0.55d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
andrewjmcgehee,46.408,32.62,15.948,94.976,23.958,22.45,22,18,122.2,2,1.89,93,4.23,164,118,2451,792,171,27,0,0,13,43,4467,90.3,40,2,8,6,2,2,0,"testing in diff (13 PRs, 43 test files) · merge CI success ~90.3% (4467 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open)",0,0,27,1104,94,1198,33,10,14,~1.89d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
dmarchuk,40.833,34.369,18.857,94.059,18.483,22.35,21,28,75.0,2,0.68,89,4.24,178,0,4714,581,95,23,1,1,15,22,4268,90.7,48,1,35,7,3,0,0,"issue closure (1 PRs w/ close keywords) · testing in diff (15 PRs, 22 test files) · merge CI success ~90.7% (4268 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open)",0,0,15,62,27,89,6,8,7,~0.68d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
veryayskiy,45.746,32.186,15.481,93.413,30.746,15.0,33,34,97.1,2,0.07,136,4.12,205,0,7420,2871,199,15,0,0,14,30,6662,89.6,117,0,16,4,3,10,0,"testing in diff (14 PRs, 30 test files) · merge CI success ~89.6% (6662 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,24,1872,28,1900,13,15,31,~0.07d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
andyzzhao,38.275,31.544,20.154,89.973,17.475,20.8,23,25,92.0,1,0.81,120,5.22,176,0,3698,1507,82,26,0,0,12,19,4680,87.9,79,2,23,7,5,0,0,"testing in diff (12 PRs, 19 test files) · merge CI success ~87.9% (4680 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,12,750,196,946,10,13,13,~0.81d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
ReeceJones,46.322,32.288,9.973,88.583,20.272,26.05,22,25,88.0,5,0.92,83,3.77,87,0,4028,616,117,28,0,0,15,27,4393,91.3,55,0,4,4,2,0,0,"testing in diff (15 PRs, 27 test files) · merge CI success ~91.3% (4393 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,17,862,178,1040,56,22,46,~0.92d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
tatoalo,44.263,27.507,14.429,86.199,16.863,27.4,14,13,107.7,1,0.09,50,3.57,132,0,3979,1069,123,30,0,0,9,22,2863,90.6,36,0,37,3,3,4,0,"testing in diff (9 PRs, 22 test files) · merge CI success ~90.6% (2863 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open)",0,0,37,27,3,30,1,1,3,~0.09d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
rossgray,30.465,33.11,20.651,84.226,20.765,9.7,19,17,111.8,1,0.8,100,5.26,154,0,4171,1595,216,11,0,0,13,79,3844,89.4,81,2,32,10,1,0,0,"testing in diff (13 PRs, 79 test files) · merge CI success ~89.4% (3844 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (10 PRs w/ teammate input after open)",0,0,67,431,146,577,5,1,11,~0.8d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
nickbest-ph,34.896,29.539,19.556,83.991,24.846,10.05,18,20,90.0,0,0.32,124,6.89,140,0,12932,3308,218,12,0,0,10,47,3929,88.9,90,2,29,6,5,0,0,"testing in diff (10 PRs, 47 test files) · merge CI success ~88.9% (3929 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,33,0,0,0,0,0,0,~0.32d median time to merge; high iteration (commits/PR); strong review throughput; tests/e2e in shipped diffs; pulls others in after open
patricio-posthog,31.215,33.516,15.143,79.874,13.515,17.7,12,12,100.0,0,0.74,67,5.58,73,0,2023,586,84,19,2,2,10,18,2616,90.6,31,0,17,8,1,0,0,"issue closure (2 PRs w/ close keywords) · testing in diff (10 PRs, 18 test files) · merge CI success ~90.6% (2616 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open)",0,0,15,0,0,0,0,0,0,~0.74d median time to merge; high iteration (commits/PR); strong review throughput; closes tracked work (issues); tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
jonmcwest,38.984,32.206,7.804,78.994,25.984,13.0,21,21,100.0,2,2.87,31,1.48,193,0,9294,780,213,13,0,0,13,31,4261,89.5,76,0,2,2,2,3,0,"testing in diff (13 PRs, 31 test files) · merge CI success ~89.5% (4261 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,43,661,4,665,10,2,22,~2.87d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs
hpouillot,36.589,25.645,15.943,78.177,18.189,18.4,17,20,85.0,3,0.61,91,5.35,108,0,4608,678,156,21,0,0,8,15,3585,90.6,48,0,12,5,2,13,0,"testing in diff (8 PRs, 15 test files) · merge CI success ~90.6% (3585 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open)",0,0,44,2581,996,3577,54,31,13,~0.61d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
lricoy,42.338,22.496,12.556,77.39,12.338,30.0,12,13,92.3,3,1.29,64,5.33,98,82,5233,2472,84,30,0,0,6,14,2384,89.9,48,1,8,4,2,0,0,"testing in diff (6 PRs, 14 test files) · merge CI success ~89.9% (2384 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,24,317,519,836,27,15,16,~1.29d median time to merge; high iteration (commits/PR); strong review throughput; frequent CI activity; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
adamleithp,47.824,15.867,12.556,76.247,19.474,28.35,28,41,68.3,10,0.15,124,4.43,129,0,2429,1188,137,29,0,0,2,7,5641,89.9,74,1,8,4,2,0,0,"testing in diff (2 PRs, 7 test files) · merge CI success ~89.9% (5641 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,20,16490,1399,17889,232,102,47,~0.15d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
z0br0wn,27.744,25.879,22.602,76.225,12.944,14.8,13,12,108.3,1,0.08,63,4.85,97,0,5257,615,92,20,0,0,8,21,2710,89.9,35,4,31,5,7,8,0,"testing in diff (8 PRs, 21 test files) · merge CI success ~89.9% (2710 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (5 PRs w/ teammate input after open) · diverse partners on own PRs (~7 people)",0,0,35,40,31,71,3,4,4,~0.08d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
jordanm-posthog,27.612,25.681,22.617,75.91,24.262,3.35,22,24,91.7,3,1.77,131,5.95,140,0,5385,626,182,4,0,0,8,15,4415,90.9,53,1,22,9,6,4,0,"testing in diff (8 PRs, 15 test files) · merge CI success ~90.9% (4415 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open) · diverse partners on own PRs (~6 people)",0,0,53,2504,149,2653,39,13,16,~1.77d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
fercgomes,26.577,23.929,24.752,75.258,15.777,10.8,18,32,56.2,10,0.71,65,3.61,117,0,4113,566,132,16,0,0,7,16,3669,88.3,88,1,23,9,4,16,0,"testing in diff (7 PRs, 16 test files) · merge CI success ~88.3% (3669 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (9 PRs w/ teammate input after open)",0,0,29,12785,3238,16023,196,34,42,~0.71d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
mp-hog,28.715,28.225,15.221,72.161,19.365,9.35,17,17,100.0,0,0.59,107,6.29,90,0,4276,1388,179,10,0,0,9,45,3409,90.8,33,0,9,7,2,4,0,"testing in diff (9 PRs, 45 test files) · merge CI success ~90.8% (3409 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (7 PRs w/ teammate input after open)",0,0,89,0,0,0,0,0,0,~0.59d median time to merge; high iteration (commits/PR); strong review throughput; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
joshsny,40.449,21.404,6.771,68.624,11.449,29.0,9,9,100.0,1,0.1,24,2.67,59,0,6918,687,101,29,0,0,5,27,1460,88.1,20,0,3,1,2,0,1,"testing in diff (5 PRs, 27 test files) · merge CI success ~88.1% (1460 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (1 PRs w/ teammate input after open)",0,0,32,502,345,847,13,22,14,~0.1d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs
andehen,32.934,25.628,9.826,68.388,12.884,20.05,16,19,84.2,2,0.2,52,3.25,83,0,3251,479,50,22,0,0,8,14,3249,91.0,37,1,5,2,2,0,0,"testing in diff (8 PRs, 14 test files) · merge CI success ~91.0% (3249 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,6,636,36,672,11,18,24,~0.2d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
frankh,36.951,22.585,8.338,67.874,15.251,21.7,14,15,93.3,0,0.79,77,5.5,86,0,6306,1606,130,23,0,0,6,16,2897,89.6,36,0,4,2,1,6,0,"testing in diff (6 PRs, 16 test files) · merge CI success ~89.6% (2897 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (2 PRs w/ teammate input after open)",0,0,46,0,0,0,0,0,0,~0.79d median time to merge; high iteration (commits/PR); strong review throughput; tests/e2e in shipped diffs
matheus-vb,28.103,19.959,18.419,66.481,10.403,17.7,10,10,100.0,1,2.01,87,8.7,88,0,5214,3308,64,19,0,0,5,7,2213,86.5,58,2,28,8,1,0,0,"testing in diff (5 PRs, 7 test files) · merge CI success ~86.5% (2213 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (8 PRs w/ teammate input after open)",0,0,17,103,205,308,11,1,1,~2.01d median time to merge; high iteration (commits/PR); strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
lmenezes,27.343,23.924,14.734,66.001,13.343,14.0,11,18,61.1,2,0.75,40,3.64,63,0,3154,2030,170,14,0,0,6,67,2254,89.2,35,2,15,4,2,1,0,"testing in diff (6 PRs, 67 test files) · merge CI success ~89.2% (2254 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (4 PRs w/ teammate input after open)",0,0,92,206,1555,1761,42,3,1,~0.75d median time to merge; strong review throughput; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
