login,combined_score,delivery_score,collaboration_score,full_stack_score,shipping_score,review_score,merged_prs,prs_opened_in_window,merge_rate_pct,open_prs_updated,median_cycle_days,commits_on_merged_prs,avg_commits_per_merged_pr,discussion_on_merged_prs,workflow_runs,additions,deletions,changed_files,review_events_on_others_prs,prs_with_close_keyword,linked_issue_refs,prs_touching_tests,test_files_touched,merge_check_runs_total,merge_check_success_pct,merge_check_failures,collab_issue_comments_others_after_open,collab_line_comments_others_after_open,collab_prs_with_teammate_after_open,collab_unique_partners_on_own_prs,collab_requested_reviewers_sum,collab_assignees_non_author_sum,rewarded_skills,revert_merges,draft_merges,max_changed_files_single_pr,open_wip_additions,open_wip_deletions,open_wip_churn,open_wip_files,open_wip_commits,open_wip_discussion,note
carlos-marchal-ph,7.109,17.223,15.734,40.066,6.109,1.0,5,15,33.3,4,2.71,18,3.6,44,0,2447,114,29,1,0,0,3,7,1040,88.7,19,2,16,3,5,0,1,"testing in diff (3 PRs, 7 test files) · merge CI success ~88.7% (1040 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (3 PRs w/ teammate input after open) · diverse partners on own PRs (~5 people)",0,0,8,2920,285,3205,42,6,25,~2.71d median time to merge; active WIP + shipping; tests/e2e in shipped diffs; pulls others in after open
luke-belton,4.725,18.712,16.348,39.785,4.725,0.0,9,15,60.0,8,0.71,15,1.67,49,0,336,72,19,0,0,0,4,5,1808,91.0,19,1,10,6,4,0,0,"testing in diff (4 PRs, 5 test files) · merge CI success ~91.0% (1808 checks sampled) · shipped completed units (merge + closure/tests signal) · collaboration (6 PRs w/ teammate input after open)",0,0,6,4183,595,4778,97,15,75,~0.71d median time to merge; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI; pulls others in after open
abhischekt,8.478,16.878,12.901,38.257,4.128,4.35,4,4,100.0,1,0.74,26,6.5,69,0,1840,245,14,5,0,0,3,3,807,91.6,3,1,18,2,2,4,0,"testing in diff (3 PRs, 3 test files) · merge CI success ~91.6% (807 checks sampled) · collaboration (2 PRs w/ teammate input after open)",0,0,7,524,302,826,6,9,14,~0.74d median time to merge; high iteration (commits/PR); active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
charlesvien,5.48,16.933,8.079,30.492,3.48,2.0,2,2,100.0,1,2.56,7,3.5,21,0,893,778,79,2,0,0,2,16,399,92.5,7,0,6,1,2,2,0,"testing in diff (2 PRs, 16 test files) · merge CI success ~92.5% (399 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,77,1591,14,1605,21,11,5,~2.56d median time to merge; active WIP + shipping; tests/e2e in shipped diffs; high green rate on merge CI
dustinbyrne,5.201,14.152,11.059,30.412,3.201,2.0,2,1,200.0,0,9.36,5,2.5,37,0,2352,64,33,2,0,0,1,5,399,90.5,8,2,10,1,2,1,0,"testing in diff (1 PRs, 5 test files) · merge CI success ~90.5% (399 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,30,0,0,0,0,0,0,~9.36d median time to merge; high green rate on merge CI
pawel-cebula,10.262,12.849,6.668,29.779,2.212,8.05,3,3,100.0,0,0.17,12,4.0,15,0,186,68,16,10,0,0,1,1,618,88.8,9,0,2,1,1,7,0,"testing in diff (1 PRs, 1 test files) · merge CI success ~88.8% (618 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,14,0,0,0,0,0,0,~0.17d median time to merge; high iteration (commits/PR); strong review throughput
bciaraldi,5.572,10.824,12.693,29.089,2.572,3.0,4,4,100.0,2,0.39,33,8.25,44,0,1458,87,8,3,0,0,0,0,818,90.2,3,2,9,2,3,1,0,merge CI success ~90.2% (818 checks sampled) · collaboration (2 PRs w/ teammate input after open),0,0,5,156,102,258,7,18,12,~0.39d median time to merge; high iteration (commits/PR); active WIP + shipping; high green rate on merge CI
EDsCODE,7.837,13.662,5.838,27.337,1.837,6.0,1,2,50.0,1,17.8,45,45.0,15,2,1007,201,10,6,0,0,1,3,205,89.8,3,0,4,1,1,0,0,"testing in diff (1 PRs, 3 test files) · merge CI success ~89.8% (205 checks sampled) · collaboration (1 PRs w/ teammate input after open)",0,0,10,769,2,771,31,9,3,~17.8d median time to merge; high iteration (commits/PR); active WIP + shipping
ordehi,4.046,10.8,12.273,27.119,4.046,0.0,3,3,100.0,0,1.83,28,9.33,26,0,942,129,20,0,0,0,0,0,617,90.0,8,3,4,3,2,1,0,merge CI success ~90.0% (617 checks sampled) · collaboration (3 PRs w/ teammate input after open),0,0,9,0,0,0,0,0,0,~1.83d median time to merge; high iteration (commits/PR); high green rate on merge CI; pulls others in after open
rorylshanks,15.259,10.776,0.0,26.035,0.209,15.05,1,1,100.0,0,0.02,1,1.0,2,0,0,2,1,17,0,0,0,0,205,89.8,2,0,0,0,0,0,0,merge CI success ~89.8% (205 checks sampled),0,0,1,0,0,0,0,0,0,~0.02d median time to merge; strong review throughput
